year_start,year_end,agecategory,sex,strata,cscv,qsqv_1,qscv_1
4,5,30,female,non-maori,0.0227,0.0111,0.0111
4,5,35,female,non-maori,0.0227,0.0111,0.0111
4,5,40,female,non-maori,0.0227,0.0111,0.0111
4,5,45,female,non-maori,0.0536241998946455,0.0145061663947365,0.0145061663947365
4,5,50,female,non-maori,0.0547071281398089,0.0149484778430648,0.0149484778430648
4,5,55,female,non-maori,0.056939034731423,0.0159260547796458,0.0159260547796458
4,5,60,female,non-maori,0.0592619972275065,0.0170168011319022,0.0170168011319022
4,5,65,female,non-maori,0.0300212641553851,0.022450198519258002,0.022450198519258002
4,5,70,female,non-maori,0.0325618275485023,0.0232181680402597,0.0232181680402597
4,5,75,female,non-maori,0.0415478122099241,0.025665960476141003,0.025665960476141003
4,5,80,female,non-maori,0.0488773613107841,0.0274359453512032,0.0274359453512032
4,5,85,female,non-maori,0.0623658922716233,0.0303191454865609,0.0303191454865609
4,5,90,female,non-maori,0.0898889323938821,0.0351214155673693,0.0351214155673693
4,5,95,female,non-maori,0.0898889323938821,0.0351214155673693,0.0351214155673693
4,5,100,female,non-maori,0.6850166432812861,0.0241031128699157,0.0241031128699157
4,5,105,female,non-maori,0.6850166432812861,0.0241031128699157,0.0241031128699157
4,5,0,male,maori,0.0225,0.0133,0.0194
4,5,5,male,maori,0.0225,0.0133,0.0194
4,5,10,male,maori,0.0225,0.0133,0.0194
4,5,15,male,maori,0.0225,0.0133,0.0194
4,5,20,male,maori,0.0225,0.0133,0.0194
4,5,25,male,maori,0.0225,0.0133,0.0194
4,5,30,male,maori,0.0225,0.0133,0.0194
4,5,35,male,maori,0.0231,0.0132,0.0192
4,5,40,male,maori,0.0238,0.0131,0.0191
4,5,45,male,maori,0.0531807100014202,0.0193835109849203,0.0193835109849203
4,5,50,male,maori,0.054189497179788,0.0195450604241953,0.0195450604241953
4,5,55,male,maori,0.0556463793846902,0.0197414113498187,0.0197414113498187
4,5,60,male,maori,0.0565767586948925,0.019848020341166,0.019848020341166
4,5,65,male,maori,0.021,0.0273,0.0273
4,5,70,male,maori,0.0252,0.0275,0.0275
4,5,75,male,maori,0.03,0.0275,0.0275
4,5,80,male,maori,0.0369,0.0271,0.0271
4,5,85,male,maori,0.043,0.0264,0.0264
4,5,90,male,maori,0.0535,0.0249,0.0249
4,5,95,male,maori,0.0631,0.0231,0.0231
4,5,100,male,maori,0.0802,0.0217,0.0217
4,5,105,male,maori,0.0802,0.0217,0.0217
4,5,0,male,non-maori,0.0251,0.0109,0.0109
4,5,5,male,non-maori,0.0251,0.0109,0.0109
4,5,10,male,non-maori,0.0251,0.0109,0.0109
4,5,15,male,non-maori,0.0251,0.0109,0.0109
4,5,20,male,non-maori,0.0251,0.0109,0.0109
4,5,25,male,non-maori,0.026000000000000002,0.0107,0.0107
4,5,30,male,non-maori,0.0251,0.0109,0.0109
4,5,35,male,non-maori,0.0251,0.0109,0.0109
4,5,40,male,non-maori,0.0277,0.0105,0.0105
4,5,45,male,non-maori,0.0336,0.0118,0.0118
4,5,50,male,non-maori,0.0357,0.0122,0.0122
4,5,55,male,non-maori,0.0362,0.0123,0.0123
4,5,60,male,non-maori,0.0389,0.0131,0.0131
4,5,65,male,non-maori,0.0619,0.015,0.015
4,5,70,male,non-maori,0.0681,0.0157,0.0157
4,5,75,male,non-maori,0.0731,0.0162,0.0162
4,5,80,male,non-maori,0.0884,0.0176,0.0176
4,5,85,male,non-maori,0.102,0.0188,0.0188
4,5,90,male,non-maori,0.102,0.0188,0.0188
4,5,95,male,non-maori,0.1263,0.0207,0.0207
4,5,100,male,non-maori,0.1263,0.0207,0.0207
4,5,105,male,non-maori,0.1263,0.0207,0.0207
5,6,0,female,maori,0.0079,0.0089,0.0129
5,6,5,female,maori,0.0079,0.0089,0.013000000000000001
